name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Pork chop, broiled or baked, lean only eaten",164,29.13,0.09,0,0,4.55,1.537,1.931,0.49,81,0,0,0.4,6,0.51,486,524
"Pork chop, breaded or floured, broiled or baked, NS as to fat eaten",240,26.78,8.82,0.76,0.6,10.19,3.121,4.728,1.685,77,1,0,0.4,30,1.05,441,556
"Pork chop, breaded or floured, broiled or baked, lean and fat eaten",240,26.78,8.82,0.76,0.6,10.19,3.121,4.728,1.685,77,1,0,0.4,30,1.05,441,556
"Pork chop, breaded or floured, broiled or baked, lean only eaten",197,28.09,8.9,0.76,0.6,4.78,1.543,1.879,0.697,74,0,0,0.4,28,1.05,465,566
"Pork chop, fried, NS as to fat eaten",211,27.69,0,0,0,10.5,3.274,5.068,1.578,84,1,0,0.5,8,0.5,459,514
"Pork chop, fried, lean and fat eaten",211,27.69,0,0,0,10.5,3.274,5.068,1.578,84,1,0,0.5,8,0.5,459,514
"Pork chop, fried, lean only eaten",164,29.13,0.09,0,0,4.55,1.537,1.931,0.49,81,0,0,0.4,6,0.51,486,524
"Pork chop, breaded or floured, fried, NS as to fat eaten",305,23.97,16.2,1.43,1,15.44,3.715,6.642,4.172,98,17,0,0.6,53,1.63,384,544
"Pork chop, breaded or floured, fried, lean and fat eaten",305,23.97,16.2,1.43,1,15.44,3.715,6.642,4.172,98,17,0,0.6,53,1.63,384,544
"Pork chop, breaded or floured, fried, lean only eaten",271,25,16.26,1.43,1,11.21,2.48,4.412,3.399,96,17,0,0.5,51,1.63,404,551
"Pork chop, battered, fried, NS as to fat eaten",281,22.6,12.77,1.52,0.4,14.99,4.234,6.668,3.195,70,4,0,0.4,39,1.13,374,419
"Pork chop, battered, fried, lean and fat eaten",281,22.6,12.77,1.52,0.4,14.99,4.234,6.668,3.195,70,4,0,0.4,39,1.13,374,419
"Pork chop, battered, fried, lean only eaten",246,23.67,12.83,1.52,0.4,10.58,2.947,4.344,2.389,68,3,0,0.3,37,1.13,394,427
"Pork chop, stewed, NS as to fat eaten",211,27.69,0,0,0,10.5,3.274,5.068,1.578,84,1,0,0.5,9,0.63,405,485
"Pork chop, stewed, lean and fat eaten",211,27.69,0,0,0,10.5,3.274,5.068,1.578,84,1,0,0.5,9,0.63,405,485
"Pork chop, stewed, lean only eaten",164,29.13,0.09,0,0,4.55,1.537,1.931,0.49,81,0,0,0.4,6,0.64,429,493
"Pork chop, smoked or cured, cooked, NS as to fat eaten",280,20.43,0,0,0,21.35,7.67,10.14,2.32,58,0,0,0.7,10,0.95,258,1072
"Pork chop, smoked or cured, cooked, lean and fat eaten",280,20.43,0,0,0,21.35,7.67,10.14,2.32,58,0,0,0.7,10,0.95,258,1072
"Pork chop, smoked or cured, cooked, lean only eaten",170,24.94,0,0,0,7.04,2.36,3.23,0.81,48,0,0,0.9,11,1.08,292,1231
"Pork steak or cutlet, NS as to cooking method, NS as to fat eaten",239,22.96,0.06,0,0,15.86,5.581,6.683,2.049,82,1,0,0.8,16,1.14,382,490
"Pork steak or cutlet, NS as to cooking method, lean and fat eaten",239,22.96,0.06,0,0,15.86,5.581,6.683,2.049,82,1,0,0.8,16,1.14,382,490
"Pork steak or cutlet, NS as to cooking method, lean only eaten",171,24.61,0.07,0,0,7.42,2.595,3.226,0.805,79,0,0,0.8,14,1.22,408,497
"Pork steak or cutlet, battered, fried, NS as to fat eaten",271,19.87,7.61,1.32,0.2,17.54,5.694,7.309,2.989,74,5,0,0.7,41,1.36,335,423
"Pork steak or cutlet, battered, fried, lean and fat eaten",271,19.87,7.61,1.32,0.2,17.54,5.694,7.309,2.989,74,5,0,0.7,41,1.36,335,423
"Pork steak or cutlet, battered, fried, lean only eaten",216,21.19,7.62,1.32,0.2,10.78,3.303,4.541,1.993,72,4,0,0.6,40,1.42,356,429
"Pork steak or cutlet, broiled or baked, NS as to fat eaten",239,22.96,0.06,0,0,15.86,5.581,6.683,2.049,82,1,0,0.8,16,1.14,382,490
"Pork steak or cutlet, broiled or baked, lean and fat eaten",239,22.96,0.06,0,0,15.86,5.581,6.683,2.049,82,1,0,0.8,16,1.14,382,490
"Pork steak or cutlet, broiled or baked, lean only eaten",171,24.61,0.07,0,0,7.42,2.595,3.226,0.805,79,0,0,0.8,14,1.22,408,497
"Pork steak or cutlet, fried, NS as to fat eaten",239,22.96,0.06,0,0,15.86,5.581,6.683,2.049,82,1,0,0.8,16,1.14,382,490
"Pork steak or cutlet, fried, lean and fat eaten",239,22.96,0.06,0,0,15.86,5.581,6.683,2.049,82,1,0,0.8,16,1.14,382,490
"Pork steak or cutlet, fried, lean only eaten",171,24.61,0.07,0,0,7.42,2.595,3.226,0.805,79,0,0,0.8,14,1.22,408,497
"Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten",264,22.3,9.15,0.4,0.4,14.79,5.151,6.137,2.012,75,1,0,0.8,27,1.61,366,490
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten",264,22.3,9.15,0.4,0.4,14.79,5.151,6.137,2.012,75,1,0,0.8,27,1.61,366,490
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten",202,23.8,9.15,0.4,0.4,7.12,2.439,2.997,0.883,72,0,0,0.7,25,1.69,389,497
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten",306,21.07,16.6,1.46,1,16.72,5.068,6.721,3.385,99,18,0,0.8,60,2.12,337,539
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten",325,20.61,16.24,1.43,1,19.26,5.354,7.79,4.507,97,18,0,0.8,58,2.08,330,527
"Pork steak or cutlet, breaded or floured, fried, lean only eaten",276,21.78,16.24,1.43,1,13.25,3.232,5.333,3.623,95,17,0,0.7,57,2.14,348,532
"Pork, tenderloin, cooked, NS as to cooking method",154,26.9,0,0,0,4.33,1.444,1.656,0.692,72,0,0,0.3,6,0.98,536,593
"Pork, tenderloin, breaded, fried",296,21.95,15.18,1.34,0.9,15.81,3.008,6.234,5.564,84,16,0,0.4,48,1.86,412,563
"Pork, tenderloin, braised",142,27.24,0,0,0,2.8,0.9,1.022,0.473,71,0,0,0.3,5,1.25,480,549
"Pork, tenderloin, baked",154,26.9,0,0,0,4.33,1.444,1.656,0.692,72,0,0,0.3,6,0.98,536,593
"Pork, tenderloin, battered, fried",193,23.29,7.56,1.32,0.2,7.08,1.946,2.776,1.727,65,4,0,0.3,32,1.25,464,508
"Ham, fried, NS as to fat eaten",188,19.13,1.27,1.09,0,11.53,2.825,5.129,2.999,52,6,0,0.8,7,1.05,318,1128
"Ham, fried, lean and fat eaten",188,19.13,1.27,1.09,0,11.53,2.825,5.129,2.999,52,6,0,0.8,7,1.05,318,1128
"Ham, fried, lean only eaten",178,20.52,1,0.99,0,9.9,2.283,4.331,2.731,50,6,0,0.8,7,0.84,297,1219
"Ham, breaded or floured, fried, NS as to fat eaten",200,18.34,7.34,1.35,0.3,10.53,2.642,4.573,2.707,62,12,0,0.7,20,1.4,299,1036
"Ham, breaded or floured, fried, lean and fat eaten",200,18.34,7.34,1.35,0.3,10.53,2.642,4.573,2.707,62,12,0,0.7,20,1.4,299,1036
"Ham, breaded or floured, fried, lean only eaten",192,19.63,6.78,1.39,0.4,9.22,2.197,3.909,2.515,61,12,0,0.8,24,1.21,282,1134
"Ham, fresh, cooked, NS as to fat eaten",271,26.61,0,0,0,17.46,6.416,7.814,1.666,93,3,0.3,0.8,14,1,349,382
"Ham, fresh, cooked, lean and fat eaten",271,26.61,0,0,0,17.46,6.416,7.814,1.666,93,3,0.3,0.8,14,1,349,382
"Ham, fresh, cooked, lean only eaten",209,29.16,0,0,0,9.36,3.273,4.413,0.843,93,3,0.4,0.9,7,1.11,370,386
"Ham, smoked or cured, cooked, NS as to fat eaten",149,20.09,1.19,1.04,0,6.7,2.283,3.214,0.979,55,6,0,0.8,8,1.11,351,1348
"Ham, smoked or cured, cooked, lean and fat eaten",149,20.09,1.19,1.04,0,6.7,2.283,3.214,0.979,55,6,0,0.8,8,1.11,351,1348
"Ham, smoked or cured, cooked, lean only eaten",139,21.64,1.05,1.05,0,4.95,1.658,2.271,0.621,53,6,0,0.8,7,0.88,313,1286
"Ham, prosciutto",195,27.8,0.3,0,0,8.32,2.78,3.821,0.97,70,0,0,0.9,10,1.11,510,2695
"Ham, smoked or cured, canned, NS as to fat eaten",132,17.46,1,1,0,6.17,2.005,2.87,0.695,43,6,0,0.6,7,0.87,322,1231
"Ham, smoked or cured, canned, lean and fat eaten",132,17.46,1,1,0,6.17,2.005,2.87,0.695,43,6,0,0.6,7,0.87,322,1231
"Ham, smoked or cured, canned, lean only eaten",117,17.8,1,1,0,4.31,1.402,2.003,0.458,43,6,0,1.5,7,0.89,340,1223
"Ham, smoked or cured, ground patty",325,18.53,1.42,1.09,0,27.25,8.826,11.541,5.115,86,28,0,1.4,9,1.2,342,814
"Pork roast, NS as to cut, cooked, NS as to fat eaten",246,26.86,0,0,0,14.53,5.325,6.456,1.2,81,3,0.6,1,19,0.98,405,381
"Pork roast, NS as to cut, cooked, lean and fat eaten",246,26.86,0,0,0,14.53,5.325,6.456,1.2,81,3,0.6,1,19,0.98,405,381
"Pork roast, NS as to cut, cooked, lean only eaten",207,28.38,0,0,0,9.55,3.481,4.284,0.754,80,2,0.6,0.7,18,1.08,421,380
"Pork roast, loin, cooked, NS as to fat eaten",246,26.86,0,0,0,14.53,5.325,6.456,1.2,81,3,0.6,1,19,0.98,405,381
"Pork roast, loin, cooked, lean and fat eaten",246,26.86,0,0,0,14.53,5.325,6.456,1.2,81,3,0.6,1,19,0.98,405,381
"Pork roast, loin, cooked, lean only eaten",207,28.38,0,0,0,9.55,3.481,4.284,0.754,80,2,0.6,0.7,18,1.08,421,380
"Fried pork chunks, Puerto Rican style",257,35.33,0.86,0.03,0.1,11.35,4.004,4.874,1.441,109,1,0.5,0.7,15,0.74,529,489
"Pork roast, shoulder, cooked, NS as to fat eaten",290,23.09,0,0,0,21.21,7.795,9.391,2.033,89,2,0.5,1.5,24,1.31,326,390
"Pork roast, shoulder, cooked, lean and fat eaten",290,23.09,0,0,0,21.21,7.795,9.391,2.033,89,2,0.5,1.5,24,1.31,326,390
"Pork roast, shoulder, cooked, lean only eaten",228,25.12,0,0,0,13.43,4.75,6.119,1.24,89,2,0.6,1,18,1.49,343,397
"Pork roast, smoked or cured, cooked, NS as to fat eaten",165,21.97,0.5,0,0,7.66,2.61,3.74,1.07,57,0,0,0.8,8,1.4,362,1385
"Pork roast, smoked or cured, cooked, lean and fat eaten",165,21.97,0.5,0,0,7.66,2.61,3.74,1.07,57,0,0,0.8,8,1.4,362,1385
"Pork roast, smoked or cured, cooked, lean only eaten",157,25.05,0,0,0,5.5,1.84,2.53,0.63,55,0,0,0.9,7,0.94,316,1327
"Pork roll, cured, fried",329,13.07,4.49,0,0,28.39,10.353,14.18,2.655,69,0,0,0.6,0,0.63,399,1377
"Canadian bacon, cooked",146,28.31,1.8,1.2,0,2.78,1.039,1.255,0.485,67,0,0,0.2,7,0.56,999,993
"Bacon, NS as to type of meat, cooked",468,33.92,1.7,0,0,35.09,11.964,15.53,6.112,99,11,0,0.4,11,0.95,499,1684
"Bacon, NS as to type of meat, reduced sodium, cooked",253,13.33,4.8,0,0,20,6.667,8.571,4.275,100,8,24,0.2,10,0.72,156,900
"Pork bacon, NS as to fresh, smoked or cured, cooked",468,33.92,1.7,0,0,35.09,11.964,15.53,6.112,99,11,0,0.4,11,0.95,499,1684
"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",541,37.04,1.43,0,0,41.78,13.739,18.52,4.548,110,11,0,1,11,1.44,565,1030
"Pork bacon, smoked or cured, cooked",468,33.92,1.7,0,0,35.09,11.964,15.53,6.112,99,11,0,0.4,11,0.95,499,1684
"Bacon or side pork, fresh, cooked",468,33.92,1.7,0,0,35.09,11.964,15.53,6.112,99,11,0,0.4,11,0.95,499,1684
"Pork bacon, smoked or cured, reduced sodium, cooked",541,37.04,1.43,0,0,41.78,13.739,18.52,4.548,110,11,0,1,11,1.44,565,1030
"Salt pork, cooked",750,2.68,0,0,0,81.93,31.339,36.64,10.744,84,9,0,2.1,11,0.17,47,2039
"Fat back, cooked",750,2.68,0,0,0,81.93,31.339,36.64,10.744,84,9,0,2.1,11,0.17,47,2039
"Pork, spareribs, cooked, NS as to fat eaten",394,28.82,0,0,0,30.05,11.027,13.368,2.707,120,3,0,2.6,47,1.84,317,415
"Pork, spareribs, cooked, lean and fat eaten",394,28.82,0,0,0,30.05,11.027,13.368,2.707,120,3,0,2.6,47,1.84,317,415
"Pork, spareribs, cooked, lean only eaten",206,28.79,0,0,0,9.24,2.369,5.323,1.001,78,2,0,0.8,51,0.86,275,394
"Pork, spareribs, barbecued, with sauce, NS as to fat eaten",343,21.45,12.74,10.39,0.3,22.29,8.122,9.855,2.022,88,6,0.2,1.9,45,1.55,306,389
"Pork, spareribs, barbecued, with sauce, lean and fat eaten",343,21.45,12.74,10.39,0.3,22.29,8.122,9.855,2.022,88,6,0.2,1.9,45,1.55,306,389
"Pork, spareribs, barbecued, with sauce, lean only eaten",224,19.63,12.74,10.39,0.3,9.82,3.677,4.546,1.054,73,3,0.2,0.8,29,1.55,304,365
"Pork, cracklings, cooked",468,33.92,1.7,0,0,35.09,11.964,15.53,6.112,99,11,0,0.4,11,0.95,499,1684
"Pork ears, tail, head, snout, miscellaneous parts, cooked",236,26.14,0,0,0,13.77,4.852,5.926,1.506,87,2,0.1,0.9,20,1.1,338,379
"Pork, neck bones, cooked",182,25.85,0,0,0,7.96,2.605,3.499,1.334,68,1,0,1,14,1.02,337,666
"Pork, pig's feet, cooked",236,21.76,0,0,0,15.92,4.307,7.938,1.527,106,0,0,0,0,0.97,33,395
"Pork, pig's feet, pickled",140,11.63,0.01,0,0,10.02,2.945,5.677,0.784,83,11,0,0.4,32,0.31,13,946
"Pork, pig's hocks, cooked",233,24.67,0,0,0,14.21,4.814,6.122,2.76,85,4,0,1.1,16,0.91,354,418
Pork skin rinds,544,61.3,0,0,0,31.3,11.37,14.78,3.64,95,12,0.5,0,30,0.88,127,1818
"Pork skin, boiled",621,7,0,0,0,65.55,23.657,28.746,11.442,78,24,0,1.8,22,0.46,124,378
"Ham, baby food, strained",97,11.3,3.7,0,0,3.8,1.267,1.803,0.51,24,2,2.1,0.4,6,1.03,204,44
"Meat stick, baby food",184,13.4,1.1,0.8,0.2,14.6,5.82,6.48,1.59,70,21,2.4,0.2,34,1.38,114,267
"Lamb, NS as to cut, cooked",292,24.32,0,0,0,20.77,8.756,8.747,1.497,96,0,0,0.1,17,1.86,307,394
"Lamb chop, NS as to cut, cooked, NS as to fat eaten",313,24.96,0,0,0,22.89,9.748,9.619,1.666,99,0,0,0.1,20,1.8,324,399
"Lamb chop, NS as to cut, cooked, lean and fat eaten",313,24.96,0,0,0,22.89,9.748,9.619,1.666,99,0,0,0.1,20,1.8,324,399
"Lamb chop, NS as to cut, cooked, lean only eaten",214,29.74,0,0,0,9.65,3.451,4.225,0.635,94,0,0,0.1,19,1.98,373,406
"Lamb, loin chop, cooked, NS as to fat eaten",313,24.96,0,0,0,22.89,9.748,9.619,1.666,99,0,0,0.1,20,1.8,324,399
"Lamb, loin chop, cooked, lean and fat eaten",313,24.96,0,0,0,22.89,9.748,9.619,1.666,99,0,0,0.1,20,1.8,324,399
"Lamb, loin chop, cooked, lean only eaten",214,29.74,0,0,0,9.65,3.451,4.225,0.635,94,0,0,0.1,19,1.98,373,406
"Lamb, shoulder chop, cooked, NS as to fat eaten",274,22.32,0,0,0,19.8,8.37,8.102,1.607,91,0,0,0.1,20,1.95,249,388
"Lamb, shoulder chop, cooked, lean and fat eaten",274,22.32,0,0,0,19.8,8.37,8.102,1.607,91,0,0,0.1,20,1.95,249,388
"Lamb, shoulder chop, cooked, lean only eaten",202,24.73,0,0,0,10.68,4.046,4.324,0.942,86,0,0,0.1,19,2.11,263,390
"Lamb, ribs, cooked, lean only eaten",233,27.51,0,0,0,12.84,4.611,5.167,1.17,90,0,0,0.1,16,2.19,310,407
"Lamb, ribs, cooked, NS as to fat eaten",358,21.95,0,0,0,29.34,12.594,12.019,2.35,98,0,0,0.1,19,1.86,268,398
"Lamb, ribs, cooked, lean and fat eaten",358,21.95,0,0,0,29.34,12.594,12.019,2.35,98,0,0,0.1,19,1.86,268,398
"Lamb hocks, cooked",241,28.13,0,0,0,13.35,5.583,5.633,0.962,105,0,0,0.1,20,2.12,255,394
"Lamb, roast, cooked, NS as to fat eaten",265,23.83,0,0,0,18.07,7.601,7.502,1.388,92,0,0,0.1,16,1.96,280,388
"Lamb, roast, cooked, lean and fat eaten",265,23.83,0,0,0,18.07,7.601,7.502,1.388,92,0,0,0.1,16,1.96,280,388
"Lamb, roast, cooked, lean only eaten",196,26.4,0,0,0,9.18,3.392,3.843,0.724,87,0,0,0.1,14,2.11,299,390
"Lamb, ground or patty, cooked",281,24.54,0,0,0,19.49,8.052,8.251,1.388,96,0,0,0.1,22,1.78,336,403
"Goat, boiled",142,26.87,0,0,0,3,0.922,1.349,0.228,74,0,0,0,17,3.7,402,408
"Goat, fried",153,26.46,0,0,0,4.52,1.152,1.683,1.126,73,0,0,0,17,3.64,395,401
"Goat, baked",142,26.87,0,0,0,3,0.922,1.349,0.228,74,0,0,0,17,3.7,402,408
"Goat head, cooked",144,21.82,0.48,0,0,5.46,1.401,1.519,0.687,1064,2,3.4,0,15,3.23,349,415
"Goat ribs, cooked",142,26.87,0,0,0,3,0.922,1.349,0.228,74,0,0,0,17,3.7,402,408
"Veal, NS as to cut, cooked, NS as to fat eaten",229,29.85,0,0,0,11.3,4.244,4.363,0.793,113,0,0,0,22,1.14,322,409
"Veal, NS as to cut, cooked, lean and fat eaten",229,29.85,0,0,0,11.3,4.244,4.363,0.793,113,0,0,0,22,1.14,322,409
"Veal, NS as to cut, cooked, lean only eaten",194,31.63,0,0,0,6.52,1.825,2.33,0.585,117,0,0,0,24,1.15,335,411
"Veal chop, NS as to cooking method, NS as to fat eaten",215,24.59,0,0,0,12.22,5.216,4.74,0.803,102,0,0,0,19,0.86,322,415
"Veal chop, NS as to cooking method, lean and fat eaten",215,24.59,0,0,0,12.22,5.216,4.74,0.803,102,0,0,0,19,0.86,322,415
"Veal chop, NS as to cooking method, lean only eaten",174,26.1,0,0,0,6.88,2.559,2.469,0.565,105,0,0,0,21,0.84,337,418
"Veal chop, fried, NS as to fat eaten",238,27.29,9.91,0.57,0.3,9.18,3.06,3.39,1.49,112,10,0,0,39,1.64,371,454
"Veal chop, fried, lean and fat eaten",238,27.29,9.91,0.57,0.3,9.18,3.06,3.39,1.49,112,10,0,0,39,1.64,371,454
"Veal chop, fried, lean only eaten",216,28.41,9.84,0.57,0.2,6.27,1.6,2.16,1.35,113,10,0,0,39,1.64,383,455
"Veal chop, broiled, NS as to fat eaten",215,24.59,0,0,0,12.22,5.216,4.74,0.803,102,0,0,0,19,0.86,322,415
"Veal chop, broiled, lean and fat eaten",215,24.59,0,0,0,12.22,5.216,4.74,0.803,102,0,0,0,19,0.86,322,415
"Veal chop, broiled, lean only eaten",174,26.1,0,0,0,6.88,2.559,2.469,0.565,105,0,0,0,21,0.84,337,418
"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten",209,33.67,0,0,0,7.28,2.821,2.772,0.521,119,0,0,0,7,1.09,401,393
"Veal cutlet or steak, NS as to cooking method, lean and fat eaten",209,35.86,0,0,0,6.28,2.509,2.34,0.466,133,0,0,0,8,1.31,380,389
"Veal cutlet or steak, NS as to cooking method, lean only eaten",181,32.89,0,0,0,4.58,1.279,1.636,0.407,106,0,0,0,7,0.86,438,399
"Veal cutlet or steak, broiled, NS as to fat eaten",159,27.47,0,0,0,4.61,1.825,1.716,0.347,102,0,0,0,6,0.9,386,390
"Veal cutlet or steak, broiled, lean and fat eaten",159,27.47,0,0,0,4.61,1.825,1.716,0.347,102,0,0,0,6,0.9,386,390
"Veal cutlet or steak, broiled, lean only eaten",181,32.89,0,0,0,4.58,1.279,1.636,0.407,106,0,0,0,7,0.86,438,399
"Veal cutlet or steak, fried, NS as to fat eaten",238,27.29,9.91,0.57,0.3,9.18,3.06,3.39,1.49,112,10,0,0,39,1.64,371,454
"Veal cutlet or steak, fried, lean and fat eaten",238,27.29,9.91,0.57,0.3,9.18,3.06,3.39,1.49,112,10,0,0,39,1.64,371,454
"Veal cutlet or steak, fried, lean only eaten",181,32.89,0,0,0,4.58,1.279,1.636,0.407,106,0,0,0,7,0.86,438,399
"Veal, roasted, NS as to fat eaten",229,29.85,0,0,0,11.3,4.244,4.363,0.793,113,0,0,0,22,1.14,322,409
"Veal, roasted, lean and fat eaten",229,29.85,0,0,0,11.3,4.244,4.363,0.793,113,0,0,0,22,1.14,322,409
"Veal, roasted, lean only eaten",174,26.1,0,0,0,6.88,2.559,2.469,0.565,105,0,0,0,21,0.84,337,418
"Veal, ground or patty, cooked",171,24.18,0,0,0,7.5,3.015,2.816,0.545,102,0,0,0,17,0.98,334,405
"Mock chicken legs, cooked",234,20.75,5.27,0.02,0.2,13.79,4.346,5.618,2.431,87,3,0.1,0.2,22,1.13,286,578
"Veal patty, breaded, cooked",283,22.23,8.63,0.75,0.5,17.11,5.388,7.555,2.423,79,9,0,1.8,38,1.42,235,432
"Rabbit, NS as to domestic or wild, cooked",205,30.25,0,0,0,8.38,2.5,2.261,1.623,86,0,0,0,20,2.36,299,199
"Rabbit, domestic, NS as to cooking method",205,30.25,0,0,0,8.38,2.5,2.261,1.623,86,0,0,0,20,2.36,299,199
"Rabbit, NS as to domestic or wild, breaded, fried",248,27.65,5.06,0.44,0.3,12.16,3.39,3.879,2.814,76,0,0,0,31,2.43,278,329
"Rabbit, wild, cooked",172,32.88,0,0,0,3.5,1.046,0.946,0.677,122,0,0,0,18,4.83,342,207
"Venison/deer, NFS",190,36.08,0,0,0,3.93,2.227,0.89,0.261,112,0,0,0,6,4.98,311,267
"Venison/deer, cured",187,35.11,0,0,0,4.08,2.268,0.983,0.282,110,0,0,0,7,4.85,303,1199
"Venison/deer, roasted",190,36.08,0,0,0,3.93,2.227,0.89,0.261,112,0,0,0,6,4.98,311,267
"Venison/deer steak, cooked, NS as to cooking method",150,29.8,0,0,0,2.61,1.434,0.649,0.185,78,0,0,0,6,4.04,393,475
"Venison/deer steak, breaded or floured, cooked, NS as to cooking method",225,24.85,12.36,1.09,0.8,7.79,2.025,2.707,2.442,86,13,0,0.2,40,3.89,329,223
Venison/deer jerky,396,32.2,14.72,14.75,0,22.41,9.604,7.32,1.907,129,0,0,0.3,18,4.32,391,2955
Deer sausage,299,10.91,4.29,2.05,0,26.13,10.487,12.198,1.182,57,19,15.2,0.7,21,1.29,351,1013
"Deer chop, cooked",193,28.06,0,0,0,8.28,2.772,3.003,1.853,73,0,0,0,6,3.8,370,448
"Venison/deer ribs, cooked",190,36.08,0,0,0,3.93,2.227,0.89,0.261,112,0,0,0,6,4.98,311,267
"Venison/deer, stewed",190,36.08,0,0,0,3.93,2.227,0.89,0.261,112,0,0,0,6,4.98,311,267
"Moose, cooked",133,29.15,0,0,0,0.97,0.289,0.199,0.309,78,0,5,0,6,4.2,333,231
"Bear, cooked",258,32.28,0,0,0,13.33,3.525,5.636,2.39,98,0,0,0,5,10.68,262,233
"Caribou, cooked",166,29.64,0,0,0,4.4,1.693,1.324,0.617,109,0,3,0,22,6.14,309,222
"Bison, cooked",142,28.32,0,0,0,2.41,0.906,0.946,0.239,82,0,0,0,8,3.41,359,219
"Ground hog, cooked",234,25.96,0,0,0,13.6,4.683,5.734,1.361,83,2,0.1,0.9,20,0.93,344,217
"Opossum, cooked",220,30.07,0,0,0,10.16,1.201,3.757,2.971,128,0,0,0,17,4.62,436,220
"Squirrel, cooked",172,30.64,0,0,0,4.67,0.538,1.779,1.676,120,0,0,0,3,6.78,351,280
"Beaver, cooked",211,34.7,0,0,0,6.93,2.061,1.882,1.344,117,0,3,0,22,9.96,401,221
"Raccoon, cooked",254,29.08,0,0,0,14.44,4.053,5.188,2.081,97,0,0,0,14,7.07,396,241
"Armadillo, cooked",159,28.18,0,0,0,4.36,1.295,1.703,0.637,77,0,0,0,16,1.12,394,222
"Wild pig, smoked",157,27.8,0,0,0,4.3,1.277,1.68,0.629,76,0,0,0,17,1.1,389,743
"Ostrich, cooked",174,25.93,0,0,0,7.01,1.778,2.138,0.733,82,0,0,0.1,8,3.4,320,402
"Lamb, baby food, strained",94,14.07,0.85,0,0,3.41,1.65,1.27,0.31,36,0,1.2,0.1,7,1.19,193,43
"Veal, baby food, strained",81,13.12,1.51,0,0,2.45,1.063,1.054,0.157,33,0,0,0.7,6,0.76,170,39
"Chicken, NS as to part and cooking method, NS as to skin eaten",164,26.79,0,0,0,6.36,1.579,2.706,0.937,112,8,0,0,14,0.73,279,345
"Chicken, NS as to part and cooking method, skin eaten",196,25.07,0.1,0.1,0,10.65,2.728,4.449,1.388,113,15,0,0,17,0.74,270,343
"Chicken, NS as to part and cooking method, skin not eaten",164,26.79,0,0,0,6.36,1.579,2.706,0.937,112,8,0,0,14,0.73,279,345
"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",165,27.32,0,0,0,5.32,1.366,1.899,1.03,115,8,0,0.1,8,0.79,311,353
"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",203,24.7,0,0,0,10.8,2.914,4.318,2.165,114,16,0,0.1,9,0.81,273,338
"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",165,27.32,0,0,0,5.32,1.366,1.899,1.03,115,8,0,0.1,8,0.79,311,353
"Chicken, NS as to part, rotisserie, NS as to skin eaten",164,26.79,0,0,0,6.36,1.579,2.706,0.937,112,8,0,0,14,0.73,279,345
"Chicken, NS as to part, rotisserie, skin eaten",196,25.07,0.1,0.1,0,10.65,2.728,4.449,1.388,113,15,0,0,17,0.74,270,343
"Chicken, NS as to part, rotisserie, skin not eaten",164,26.79,0,0,0,6.36,1.579,2.706,0.937,112,8,0,0,14,0.73,279,345
"Chicken, NS as to part, stewed, NS as to skin eaten",158,26.03,0,0,0,5.38,1.366,1.921,0.973,113,8,0,0.1,9,0.77,293,366
"Chicken, NS as to part, stewed, skin eaten",196,23.58,0,0,0,10.86,2.925,4.352,2.133,113,15,0,0.2,9,0.8,258,356
"Chicken, NS as to part, stewed, skin not eaten",158,26.03,0,0,0,5.38,1.366,1.921,0.973,113,8,0,0.1,9,0.77,293,366
"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",179,26.74,0,0,0,7.2,1.609,2.692,1.828,112,8,0,0.1,8,0.77,304,386
"Chicken, NS as to part, grilled without sauce, skin eaten",216,24.19,0,0,0,12.57,3.125,5.06,2.94,112,16,0,0.1,9,0.8,268,372
"Chicken, NS as to part, grilled without sauce, skin not eaten",179,26.74,0,0,0,7.2,1.609,2.692,1.828,112,8,0,0.1,8,0.77,304,386
"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",180,21.98,7.31,5.96,0.2,6.36,1.372,2.366,1.661,92,8,0.1,0,13,0.75,290,527
"Chicken, NS as to part, grilled with sauce, skin eaten",211,19.89,7.31,5.96,0.2,10.74,2.609,4.298,2.569,91,15,0.1,0.1,13,0.76,260,516
"Chicken, NS as to part, grilled with sauce, skin not eaten",180,21.98,7.31,5.96,0.2,6.36,1.372,2.366,1.661,92,8,0.1,0,13,0.75,290,527
"Chicken, NS as to part, sauteed, skin eaten",216,24.19,0,0,0,12.57,3.125,5.06,2.94,112,16,0,0.1,9,0.8,268,372
