name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Yogurt, NS as to type of milk or flavor",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, NS as to type of milk, plain",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, whole milk, plain",61,3.47,4.66,4.66,0,3.25,2.096,0.893,0.092,13,27,0.5,1.2,121,0.05,155,46
"Yogurt, low fat milk, plain",63,5.25,7.04,7.04,0,1.55,1,0.426,0.044,6,14,0.8,1.2,183,0.08,234,70
"Yogurt, nonfat milk, plain",56,5.73,7.68,7.68,0,0.18,0.116,0.049,0.005,2,2,0.9,1.2,199,0.09,255,77
"Yogurt, Greek, NS as to type of milk, plain",73,9.95,3.94,3.56,0,1.92,1.23,0.486,0.076,10,90,0.8,0,115,0.04,141,34
"Yogurt, Greek, whole milk, plain",97,9,3.98,4,0,5,2.395,2.136,0.469,13,2,0,0,100,0,141,35
"Yogurt, Greek, low fat milk, plain",73,9.95,3.94,3.56,0,1.92,1.23,0.486,0.076,10,90,0.8,0,115,0.04,141,34
"Yogurt, Greek, nonfat milk, plain",61,10.3,3.64,3.27,0,0.37,0.108,0.043,0.011,5,1,0,0,111,0.07,141,36
"Yogurt, NS as to type of milk, fruit",89,4.66,14.46,12.01,0.1,1.37,0.881,0.379,0.039,5,12,1.8,1.2,163,0.13,215,65
"Yogurt, whole milk, fruit",87,3.1,12.36,9.92,0.1,2.87,1.845,0.79,0.081,11,24,1.5,1.2,109,0.1,146,44
"Yogurt, low fat milk, fruit",89,4.66,14.46,12.01,0.1,1.37,0.881,0.379,0.039,5,12,1.8,1.2,163,0.13,215,65
"Yogurt, nonfat milk, fruit",83,5.09,15.02,12.58,0.1,0.17,0.103,0.048,0.004,2,2,1.8,1.2,177,0.14,234,72
"Yogurt, Greek, NS as to type of milk, fruit",105,8.17,12.29,11.23,1,2.57,1.599,0.65,0.113,12,31,0.7,0.9,88,0.07,129,33
"Yogurt, Greek, whole milk, fruit",106,7.33,12.29,12,0,3,1.599,1.265,0.219,10,46,0,0.9,100,0,113,37
"Yogurt, Greek, low fat milk, fruit",105,8.17,12.29,11.23,1,2.57,1.599,0.65,0.113,12,31,0.7,0.9,88,0.07,129,33
"Yogurt, Greek, nonfat milk, fruit",83,8.06,12.2,11.5,0.6,0.15,0.103,0.029,0.021,4,0,0.2,0.9,97,0.09,133,32
"Yogurt, NS as to type of milk, flavors other than fruit",73,5.09,9.82,9.82,0,1.51,0.97,0.413,0.043,6,14,0.8,1.2,178,0.08,227,68
"Yogurt, whole milk, flavors other than fruit",77,3.3,9.41,9.42,0,3.1,1.991,0.848,0.087,12,26,0.5,1.2,115,0.05,147,44
